bjdongCd,bldCnt,bldNm,block,btmaIncYn,bun,cemaIncYn,crtnDay,demolEndDay,demolExtngDay,demolExtngGbCd,demolExtngGbCdNm,demolStrtDay,etcIncYn,etcYn,fmlyCnt,hhldCnt,himaIncYn,hoCnt,ji,lgmaIncYn,lot,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,nabYn,platGbCd,platPlc,rfmaIncYn,rnum,sigunguCd,splotNm,strctCd,strctCdNm,totArea
10100,1, , ,0,0004,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0001,0, ,Z8000, ,11110-6439,0,0,서울특별시 종로구 청운동 4-1번지,0,1,11110, ,11,벽돌구조,40
10100,1, , ,0,0004,0,20100325,20060731,200607,1,철거,20060706,0,0,0,0,0,0,0003,0, ,01001,단독주택,11110-6523,0,0,서울특별시 종로구 청운동 4-3번지,0,2,11110, ,11,벽돌구조,506.71
10100,1, , ,0,0004,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0021,0, ,01001,단독주택,11110-6201,0,0,서울특별시 종로구 청운동 4-21번지,0,3,11110, ,21,철근콘크리트구조,601.06
10100,1, , ,0,0012,0,20170223,20170228, ,1,철거,20170223,0,0,0,1,0,0,0003,0, ,01000,단독주택,11110-100027328,1,0,서울특별시 종로구 청운동 12-3번지,0,4,11110, ,51,일반목구조,56.2
10100,1, , ,0,0012,0,20190212,20190216, ,1,철거,20190212,0,0,0,0,0,0,0003,0, ,01000,단독주택,11110-100034834,1,0,서울특별시 종로구 청운동 12-3번지,0,5,11110, ,51,일반목구조,56.2
10100,1, , ,0,0012,0,20190307,20190308, ,1,철거,20190305,0,0,0,0,0,0,0003,0, ,01000,단독주택,11110-100035371,1,0,서울특별시 종로구 청운동 12-3번지,0,6,11110, ,51,일반목구조,56.2
10100,1, , ,0,0012,0,20100325,20071020, ,2,부분철거,20071010,0,0,0,0,0,0,0009,0, ,03001,소매점,11110-6731,0,0,서울특별시 종로구 청운동 12-9번지,0,7,11110, ,11,벽돌구조,13.22
10100,1, , ,0,0015,0,20100325,20021210,20021210,1,철거,20021210,0,0,0,1,0,0,0000,0, ,01001,단독주택,11110-5628,0,0,서울특별시 종로구 청운동 15번지,0,8,11110, ,19,기타조적구조,278.54
10100,1, , ,0,0015,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0007,0, ,01001,단독주택,11110-5208,0,0,서울특별시 종로구 청운동 15-7번지,0,9,11110, ,51,일반목구조,115.39
10100,0, , ,0,0015,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0009,0, ,01001,단독주택,11110-5668,0,0,서울특별시 종로구 청운동 15-9번지,0,10,11110, ,11,벽돌구조,486.11
10200,1, , ,0,0001,0,20100325, , ,1,철거,20071031,0,0,0,0,0,0,0026,0, ,01001,단독주택,11110-6744,0,0,서울특별시 종로구 신교동 1-26번지,0,1,11110, ,51,일반목구조,79.34
10200,1, , ,0,0001,0,20100325,20070907, ,1,철거,20080907,0,0,0,0,0,0,0027,0, ,01000,단독주택,11110-100006766,1,0,서울특별시 종로구 신교동 1-27번지,0,2,11110, ,11,벽돌구조,94.78
10200,1, , ,0,0002,0,20120204,20100608, ,2,부분철거,20100608,0,0,0,0,0,0,0048,0, ,01000,단독주택,11110-100012074,1,0,서울특별시 종로구 신교동 2-48번지,0,3,11110, ,11,벽돌구조,107.24
10200,1, , ,0,0002,0,20110728,20110830, ,1,철거,20110805,0,0,0,0,0,0,0051,0, ,01000,단독주택,11110-100014230,0,0,서울특별시 종로구 신교동 2-51번지,0,4,11110, ,11,벽돌구조,48.6
10200,1, , ,0,0002,0,20100325, , ,1,철거,20010924,0,0,0,1,0,0,0084,0, ,01001,단독주택,11110-5100,0,0,서울특별시 종로구 신교동 2-84번지,0,5,11110, ,11,벽돌구조,218.87
10200,0, , ,0,0004,0,20110409,20110430, ,1,철거,20110415,0,0,0,1,0,0,0002,0, ,01000,단독주택,11110-100013690,1,0,서울특별시 종로구 신교동 4-2번지,0,6,11110, ,51,일반목구조,85.96
10200,1, , ,0,0006,0,20111001,20111005, ,1,철거,20111005,0,0,0,1,0,0,0002,0, ,01000,단독주택,11110-100014477,0,0,서울특별시 종로구 신교동 6-2번지,0,7,11110, ,51,일반목구조,43.34
10200,1, , ,0,0006,0,20131012,20131018, ,1,철거,20131016,0,0,0,0,0,0,0006,0, ,01000,단독주택,11110-100018302,1,0,서울특별시 종로구 신교동 6-6번지,0,8,11110, ,21,철근콘크리트구조,270.21
10200,1, , ,0,0006,0,20100325,20010825, ,1,철거,20010822,0,0,0,0,0,0,0011,0, , , ,11110-5052,0,0,서울특별시 종로구 신교동 6-11번지,0,9,11110, , , ,101.85
10200,3, , ,0,0006,0,20100325,20010825, ,1,철거,20010822,0,0,0,0,0,0,0013,0, , , ,11110-5051,0,0,서울특별시 종로구 신교동 6-13번지,0,10,11110, , , ,360.27
10300,1, , ,0,0003,0,20100325,20040912, ,1,철거,20040907,0,0,0,0,0,0,0006,0, ,01001,단독주택,11110-6171,0,0,서울특별시 종로구 궁정동 3-6번지,0,1,11110, ,11,벽돌구조,109.1
10300,0, , ,0,0003,0,20160220,20160326, ,1,철거,20160226,0,0,0,0,0,0,0006,0, ,04000,제2종근린생활시설,11110-100024855,1,0,서울특별시 종로구 궁정동 3-6번지,0,2,11110, , , ,218.97
10300,0, , ,0,0003,0,20160223,20160326, ,1,철거,20160226,0,0,0,0,0,0,0007,0, ,02000,공동주택,11110-100024857,1,0,서울특별시 종로구 궁정동 3-7번지,0,3,11110, , , ,182.09
10300,0, , ,0,0003,0,20160223,20160326, ,1,철거,20160226,0,0,0,0,0,0,0008,0, ,01000,단독주택,11110-100024856,1,0,서울특별시 종로구 궁정동 3-8번지,0,4,11110, , , ,195.93
