area,bjdongCd,block,bun,crtnDay,etcPurps,exposPubuseGbCd,exposPubuseGbCdNm,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmExposPubuseAreaPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm,strctCd,strctCdNm
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19152,11110-3306,0,서울특별시 종로구 청운동 4-1번지,72.31,1,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19153,11110-3306,0,서울특별시 종로구 청운동 4-1번지,72.31,2,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19154,11110-3306,0,서울특별시 종로구 청운동 4-1번지,73.21,3,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19155,11110-3306,0,서울특별시 종로구 청운동 4-1번지,73.21,4,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19156,11110-3306,0,서울특별시 종로구 청운동 4-1번지,74.03,5,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19157,11110-3306,0,서울특별시 종로구 청운동 4-1번지,74.03,6,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,0,0003, ,0,주건축물,02002,연립주택,11110-20340,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,7,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20341,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,8,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-20342,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,9,11110, ,21,철근콘크리트구조
15.18,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20343,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,10,11110, ,21,철근콘크리트구조
239.83,10200, ,0002,20131126, ,1,전유,20,지상,0,0007, ,0,주건축물,02002,연립주택,11110-1454,11110-291,0,서울특별시 종로구 신교동 2-7번지,83,1,11110, ,21,철근콘크리트구조
6.07,10200, ,0002,20131126,창고,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1455,11110-291,0,서울특별시 종로구 신교동 2-7번지,83,2,11110, ,21,철근콘크리트구조
1.91,10200, ,0002,20131126,수위실,2,공용,10,지하,0,0007, ,0,주건축물,02002,연립주택,11110-1456,11110-291,0,서울특별시 종로구 신교동 2-7번지,83,3,11110, ,21,철근콘크리트구조
28.67,10200, ,0002,20131126,계단실,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1457,11110-291,0,서울특별시 종로구 신교동 2-7번지,83,4,11110, ,21,철근콘크리트구조
41.05,10200, ,0002,20131126, ,1,전유,21,복수층(하층),0,0007, ,0,주건축물,02002,연립주택,11110-1458,11110-291,0,서울특별시 종로구 신교동 2-7번지,93,5,11110, ,21,철근콘크리트구조
226.82,10200, ,0002,20131126, ,1,전유,22,복수층(상층),0,0007, ,0,주건축물,02002,연립주택,11110-1459,11110-291,0,서울특별시 종로구 신교동 2-7번지,93,6,11110, ,21,철근콘크리트구조
6.77,10200, ,0002,20131126,창고,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1460,11110-291,0,서울특별시 종로구 신교동 2-7번지,93,7,11110, ,21,철근콘크리트구조
2.13,10200, ,0002,20131126,수위실,2,공용,10,지하,0,0007, ,0,주건축물,02002,연립주택,11110-1461,11110-291,0,서울특별시 종로구 신교동 2-7번지,93,8,11110, ,21,철근콘크리트구조
32.01,10200, ,0002,20131126,계단실,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1462,11110-291,0,서울특별시 종로구 신교동 2-7번지,93,9,11110, ,21,철근콘크리트구조
78.89,10200, ,0006,20150107,다세대주택,1,전유,40,각층,0,0006, ,0,주건축물,02003,다세대주택,11110-100014247,11110-100017446,0,서울특별시 종로구 신교동 6-6번지,A,10,11110, ,21,철근콘크리트구조
52.83,10300, ,0013,20110222, ,1,전유,20,지상,1,0007, ,0,주건축물,04001,일반음식점,11110-100004316,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지,101호,1,11110, ,21,철근콘크리트구조
52.83,10300, ,0013,20110222, ,1,전유,20,지상,2,0007, ,0,주건축물,04001,일반음식점,11110-100004317,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지,201호,2,11110, ,21,철근콘크리트구조
32,10300, ,0013,20110222, ,1,전유,10,지하,1,0007, ,0,주건축물,04001,일반음식점,11110-100004318,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지,B01호,3,11110, ,21,철근콘크리트구조
26.79,10400, ,0041,20090326,복층하층,1,전유,21,복수층(하층),0,0000, ,0,주건축물,02003,다세대주택,11110-17025,11110-2468,0,서울특별시 종로구 효자동 41번지,17.18A,1,11110, ,21,철근콘크리트구조
60,10400, ,0041,20090326,복층상층,1,전유,22,복수층(상층),0,0000, ,0,주건축물,02003,다세대주택,11110-17026,11110-2468,0,서울특별시 종로구 효자동 41번지,17.18A,2,11110, ,21,철근콘크리트구조
9.18,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17027,11110-2468,0,서울특별시 종로구 효자동 41번지,17.18A,3,11110, ,21,철근콘크리트구조
68.22,10400, ,0041,20090326, ,1,전유,20,지상,4,0000, ,0,주건축물,02003,다세대주택,11110-17028,11110-2468,0,서울특별시 종로구 효자동 41번지,20.77A,4,11110, ,21,철근콘크리트구조
7.26,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17029,11110-2468,0,서울특별시 종로구 효자동 41번지,20.77A,5,11110, ,21,철근콘크리트구조
100.98,10400, ,0041,20090326, ,1,전유,20,지상,2,0000, ,0,주건축물,02003,다세대주택,11110-17030,11110-2468,0,서울특별시 종로구 효자동 41번지,30.55A,6,11110, ,21,철근콘크리트구조
10.68,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17031,11110-2468,0,서울특별시 종로구 효자동 41번지,30.55A,7,11110, ,21,철근콘크리트구조
97.96,10400, ,0045,20120112, ,1,전유,20,지상,1,0000, ,0,주건축물,02003,다세대주택,11110-100002062,11110-100006115,0,서울특별시 종로구 효자동 45번지,A형,8,11110, ,21,철근콘크리트구조
76.55,10400, ,0045,20120112, ,1,전유,20,지상,2,0000, ,0,주건축물,02003,다세대주택,11110-100002063,11110-100006115,0,서울특별시 종로구 효자동 45번지,B형,9,11110, ,21,철근콘크리트구조
57.21,10400, ,0045,20120112, ,1,전유,20,지상,2,0000, ,0,주건축물,02003,다세대주택,11110-100002064,11110-100006115,0,서울특별시 종로구 효자동 45번지,C형,10,11110, ,21,철근콘크리트구조
60.93,10500, ,0021,20090326,101호,1,전유,20,지상,1,0007, ,0,주건축물,02003,다세대주택,11110-9402,11110-1529,0,서울특별시 종로구 창성동 21-7번지,20.03,1,11110, ,21,철근콘크리트구조
5.28,10500, ,0021,20090326,계단실,2,공용,20,지상,1,0007, ,0,주건축물,02003,다세대주택,11110-9403,11110-1529,0,서울특별시 종로구 창성동 21-7번지,20.03,2,11110, ,21,철근콘크리트구조
64.4,10500, ,0021,20090326,201호,1,전유,20,지상,2,0007, ,0,주건축물,02003,다세대주택,11110-9404,11110-1529,0,서울특별시 종로구 창성동 21-7번지,21.17,3,11110, ,21,철근콘크리트구조
5.58,10500, ,0021,20090326,계단실,2,공용,20,지상,2,0007, ,0,주건축물,02003,다세대주택,11110-9405,11110-1529,0,서울특별시 종로구 창성동 21-7번지,21.17,4,11110, ,21,철근콘크리트구조
121.26,10500, ,0021,20090326,301호,1,전유,20,지상,3,0007, ,0,주건축물,02003,다세대주택,11110-9406,11110-1529,0,서울특별시 종로구 창성동 21-7번지,39.87,5,11110, ,21,철근콘크리트구조
10.5,10500, ,0021,20090326,계단실,2,공용,20,지상,3,0007, ,0,주건축물,02003,다세대주택,11110-9407,11110-1529,0,서울특별시 종로구 창성동 21-7번지,39.87,6,11110, ,21,철근콘크리트구조
42.35,10500, ,0087,20140902, ,1,전유,20,지상,4,0002, ,0,주건축물,02003,다세대주택,11110-100012500,11110-100020553,0,서울특별시 종로구 창성동 87-2번지,401A,7,11110, ,32,경량철골구조
9.24,10500, ,0087,20140902,계단실,2,공용,20,지상,4,0002, ,0,주건축물,02003,다세대주택,11110-100012501,11110-100020553,0,서울특별시 종로구 창성동 87-2번지,401A,8,11110, ,11,벽돌구조
134.9,10500, ,0090,20090326,"203호,303호",1,전유,20,지상,2,0000, ,0,주건축물,02002,연립주택,11110-1293,11110-222,0,서울특별시 종로구 창성동 90번지,134.90,9,11110, ,21,철근콘크리트구조
13.61,10500, ,0090,20090326,계단실및 ELEV,2,공용,10,지하,0,0000, ,0,주건축물, , ,11110-1294,11110-222,0,서울특별시 종로구 창성동 90번지,134.90,10,11110, ,21,철근콘크리트구조
63.15,10600, ,0009,20130413, ,1,전유,20,지상,2,0001, ,0,주건축물,02003,다세대주택,11110-16078,11110-2310,0,서울특별시 종로구 통의동 9-1번지,21.66,1,11110, ,21,철근콘크리트구조
5.86,10600, ,0009,20130413,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-16079,11110-2310,0,서울특별시 종로구 통의동 9-1번지,21.66,2,11110, ,21,철근콘크리트구조
2.6,10600, ,0009,20130413,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-16080,11110-2310,0,서울특별시 종로구 통의동 9-1번지,21.66,3,11110, ,21,철근콘크리트구조
70.38,10600, ,0009,20130413, ,1,전유,20,지상,0,0001, ,0,주건축물,02003,다세대주택,11110-16081,11110-2310,0,서울특별시 종로구 통의동 9-1번지,24.14,4,11110, ,21,철근콘크리트구조
6.53,10600, ,0009,20130413,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-16082,11110-2310,0,서울특별시 종로구 통의동 9-1번지,24.14,5,11110, ,21,철근콘크리트구조
2.9,10600, ,0009,20130413,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-16083,11110-2310,0,서울특별시 종로구 통의동 9-1번지,24.14,6,11110, ,21,철근콘크리트구조
75.09,10600, ,0009,20130413, ,1,전유,20,지상,0,0001, ,0,주건축물,02003,다세대주택,11110-16084,11110-2310,0,서울특별시 종로구 통의동 9-1번지,25.76,7,11110, ,21,철근콘크리트구조
6.97,10600, ,0009,20130413,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-16085,11110-2310,0,서울특별시 종로구 통의동 9-1번지,25.76,8,11110, ,21,철근콘크리트구조
3.1,10600, ,0009,20130413,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-16086,11110-2310,0,서울특별시 종로구 통의동 9-1번지,25.76,9,11110, ,21,철근콘크리트구조
82.32,10600, ,0009,20130413, ,1,전유,20,지상,2,0001, ,0,주건축물,02003,다세대주택,11110-16087,11110-2310,0,서울특별시 종로구 통의동 9-1번지,28.24,10,11110, ,21,철근콘크리트구조
54.22,10700, ,0100,20160921, ,1,전유,10,지하,2,0001, ,0,주건축물,04007, ,11110-16109,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22A,1,11110, ,21,철근콘크리트구조
5.26,10700, ,0100,20160921,주차장,2,공용,10,지하,2,0001, ,0,주건축물,04007, ,11110-16110,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22A,2,11110, ,21,철근콘크리트구조
15.83,10700, ,0100,20160921,계단실,2,공용,20,지상,2,0001, ,0,주건축물,04007, ,11110-16111,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22A,3,11110, ,21,철근콘크리트구조
54.22,10700, ,0100,20160921, ,1,전유,10,지하,1,0001, ,0,주건축물,04020,노래연습장,11110-16112,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22B,4,11110, ,21,철근콘크리트구조
5.26,10700, ,0100,20160921,주차장,2,공용,10,지하,1,0001, ,0,주건축물,04020,노래연습장,11110-16113,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22B,5,11110, ,21,철근콘크리트구조
15.83,10700, ,0100,20160921,계단실,2,공용,10,지하,1,0001, ,0,주건축물,04020,노래연습장,11110-16114,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22B,6,11110, ,21,철근콘크리트구조
54.22,10700, ,0100,20160921, ,1,전유,10,지하,2,0001, ,0,주건축물,04007, ,11110-16115,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22C,7,11110, ,21,철근콘크리트구조
5.26,10700, ,0100,20160921,주차장,2,공용,10,지하,2,0001, ,0,주건축물,04007, ,11110-16116,11110-2322,0,서울특별시 종로구 적선동 100-1번지,22C,8,11110, ,21,철근콘크리트구조
