archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0900, ,00000,1, ,0001,20150619,100,20,지상,1,0001, ,01001,단독주택,11000-196,11000-7406,11000-117,0,서울특별시 종로구 종로구 1-1번지,1,11110, ,11,벽돌구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,1572.17,10,지하,2,0001, ,02002,연립주택,11110-3937,11110-18015,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,10,지하,1,0001, ,02002,연립주택,11110-3937,11110-18016,11110-3306,0,서울특별시 종로구 청운동 4-1번지,2,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,20,지상,1,0001, ,02002,연립주택,11110-3937,11110-18017,11110-3306,0,서울특별시 종로구 청운동 4-1번지,3,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,20,지상,2,0001, ,02002,연립주택,11110-3937,11110-18018,11110-3306,0,서울특별시 종로구 청운동 4-1번지,4,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 파라디아 아델하우스, ,0004,20090326,794.05,20,지상,3,0001, ,02002,연립주택,11110-3937,11110-18019,11110-3306,0,서울특별시 종로구 청운동 4-1번지,5,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,438.86,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19618,11110-3661,0,서울특별시 종로구 청운동 4-3번지,6,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,19.6,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19619,11110-3661,0,서울특별시 종로구 청운동 4-3번지,7,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,70.52,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19620,11110-3661,0,서울특별시 종로구 청운동 4-3번지,8,11110, ,21,철근콘크리트구조
0100,신축,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,5.2,10,지하,2,0003, ,02005,부대시설,11110-4347,11110-19621,11110-3661,0,서울특별시 종로구 청운동 4-3번지,9,11110, ,21,철근콘크리트구조
