area,bjdongCd,block,bun,crtnDay,etcPurps,exposPubuseGbCd,exposPubuseGbCdNm,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmHoDetlPk,mgmHoExposPubuseAreaPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm,strctCd,strctCdNm
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19090,11110-84951,0,서울특별시 종로구 청운동 4-1번지,72.31,1,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,-1,0001, ,0,주건축물,02002,연립주택,11110-19090,11110-84952,0,서울특별시 종로구 청운동 4-1번지,72.31,2,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19094,11110-84959,0,서울특별시 종로구 청운동 4-1번지,73.21,3,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,2,0001, ,0,주건축물,02002,연립주택,11110-19094,11110-84960,0,서울특별시 종로구 청운동 4-1번지,73.21,4,11110, ,21,철근콘크리트구조
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19093,11110-84957,0,서울특별시 종로구 청운동 4-1번지,72.31,5,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,1,0001, ,0,주건축물,02002,연립주택,11110-19093,11110-84958,0,서울특별시 종로구 청운동 4-1번지,72.31,6,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19095,11110-84961,0,서울특별시 종로구 청운동 4-1번지,74.03,7,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,2,0001, ,0,주건축물,02002,연립주택,11110-19095,11110-84962,0,서울특별시 종로구 청운동 4-1번지,74.03,8,11110, ,21,철근콘크리트구조
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19096,11110-84963,0,서울특별시 종로구 청운동 4-1번지,72.31,9,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,2,0001, ,0,주건축물,02002,연립주택,11110-19096,11110-84964,0,서울특별시 종로구 청운동 4-1번지,72.31,10,11110, ,21,철근콘크리트구조
41.05,10200, ,0002,20131126, ,1,전유,21,복수층(하층),1,0007, ,0,주건축물,02002,연립주택,11110-1674,11110-5787,0,서울특별시 종로구 신교동 2-7번지,93,1,11110, ,21,철근콘크리트구조
226.82,10200, ,0002,20131126, ,1,전유,22,복수층(상층),1,0007, ,0,주건축물,02002,연립주택,11110-1674,11110-5788,0,서울특별시 종로구 신교동 2-7번지,93,2,11110, ,21,철근콘크리트구조
6.77,10200, ,0002,20131126,창고,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1674,11110-5789,0,서울특별시 종로구 신교동 2-7번지,93,3,11110, ,21,철근콘크리트구조
2.13,10200, ,0002,20131126,수위실,2,공용,20,지상,1,0007, ,0,주건축물,02002,연립주택,11110-1674,11110-5790,0,서울특별시 종로구 신교동 2-7번지,93,4,11110, ,21,철근콘크리트구조
32.01,10200, ,0002,20131126,계단실,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1674,11110-5791,0,서울특별시 종로구 신교동 2-7번지,93,5,11110, ,21,철근콘크리트구조
239.83,10200, ,0002,20131126, ,1,전유,20,지상,2,0007, ,0,주건축물,02002,연립주택,11110-1675,11110-5792,0,서울특별시 종로구 신교동 2-7번지,83,6,11110, ,21,철근콘크리트구조
6.07,10200, ,0002,20131126,창고,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1675,11110-5793,0,서울특별시 종로구 신교동 2-7번지,83,7,11110, ,21,철근콘크리트구조
1.91,10200, ,0002,20131126,수위실,2,공용,20,지상,2,0007, ,0,주건축물,02002,연립주택,11110-1675,11110-5794,0,서울특별시 종로구 신교동 2-7번지,83,8,11110, ,21,철근콘크리트구조
28.67,10200, ,0002,20131126,계단실,2,공용,40,각층,0,0007, ,0,주건축물,02002,연립주택,11110-1675,11110-5795,0,서울특별시 종로구 신교동 2-7번지,83,9,11110, ,21,철근콘크리트구조
239.83,10200, ,0002,20131126, ,1,전유,20,지상,3,0007, ,0,주건축물,02002,연립주택,11110-1676,11110-5796,0,서울특별시 종로구 신교동 2-7번지,83,10,11110, ,21,철근콘크리트구조
32,10300, ,0013,20110222, ,1,전유,10,지하,1,0007, ,0,주건축물,04001,일반음식점,11110-100003965,11110-100007296,0,서울특별시 종로구 궁정동 13-7번지,B01호,1,11110, ,21,철근콘크리트구조
52.83,10300, ,0013,20110222, ,1,전유,20,지상,1,0007, ,0,주건축물,04001,일반음식점,11110-100003964,11110-100007295,0,서울특별시 종로구 궁정동 13-7번지,101호,2,11110, ,21,철근콘크리트구조
52.83,10300, ,0013,20110222, ,1,전유,20,지상,2,0007, ,0,주건축물,04001,일반음식점,11110-100003966,11110-100007297,0,서울특별시 종로구 궁정동 13-7번지,201호,3,11110, ,21,철근콘크리트구조
68.22,10400, ,0041,20090326, ,1,전유,20,지상,4,0000, ,0,주건축물,02003,다세대주택,11110-17501,11110-78219,0,서울특별시 종로구 효자동 41번지,20.77A,1,11110, ,21,철근콘크리트구조
7.26,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17501,11110-78220,0,서울특별시 종로구 효자동 41번지,20.77A,2,11110, ,21,철근콘크리트구조
100.98,10400, ,0041,20090326, ,1,전유,20,지상,2,0000, ,0,주건축물,02003,다세대주택,11110-17499,11110-78215,0,서울특별시 종로구 효자동 41번지,30.55A,3,11110, ,21,철근콘크리트구조
10.68,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17499,11110-78216,0,서울특별시 종로구 효자동 41번지,30.55A,4,11110, ,21,철근콘크리트구조
26.79,10400, ,0041,20090326,복층하층,1,전유,21,복수층(하층),4,0000, ,0,주건축물,02003,다세대주택,11110-17502,11110-78221,0,서울특별시 종로구 효자동 41번지,17.18A,5,11110, ,21,철근콘크리트구조
60,10400, ,0041,20090326,복층상층,1,전유,22,복수층(상층),4,0000, ,0,주건축물,02003,다세대주택,11110-17502,11110-78222,0,서울특별시 종로구 효자동 41번지,17.18A,6,11110, ,21,철근콘크리트구조
9.18,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17502,11110-78223,0,서울특별시 종로구 효자동 41번지,17.18A,7,11110, ,21,철근콘크리트구조
100.98,10400, ,0041,20090326, ,1,전유,20,지상,2,0000, ,0,주건축물,02003,다세대주택,11110-17500,11110-78217,0,서울특별시 종로구 효자동 41번지,30.55A,8,11110, ,21,철근콘크리트구조
10.68,10400, ,0041,20090326,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02003,다세대주택,11110-17500,11110-78218,0,서울특별시 종로구 효자동 41번지,30.55A,9,11110, ,21,철근콘크리트구조
57.21,10400, ,0045,20120112, ,1,전유,20,지상,2,0000, ,0,주건축물,02003,다세대주택,11110-100002328,11110-100005024,0,서울특별시 종로구 효자동 45번지,C형,10,11110, ,21,철근콘크리트구조
42.35,10500, ,0087,20140902, ,1,전유,20,지상,4,0002, ,0,주건축물,02003,다세대주택,11110-100009438,11110-100024453,0,서울특별시 종로구 창성동 87-2번지,401A,1,11110, ,32,경량철골구조
9.24,10500, ,0087,20140902,계단실,2,공용,20,지상,4,0002, ,0,주건축물,02003,다세대주택,11110-100009438,11110-100024454,0,서울특별시 종로구 창성동 87-2번지,401A,2,11110, ,11,벽돌구조
63.15,10600, ,0009,20130413, ,1,전유,20,지상,2,0001, ,0,주건축물,02003,다세대주택,11110-17051,11110-76426,0,서울특별시 종로구 통의동 9-1번지,21.66,1,11110, ,21,철근콘크리트구조
5.86,10600, ,0009,20130413,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-17051,11110-76427,0,서울특별시 종로구 통의동 9-1번지,21.66,2,11110, ,21,철근콘크리트구조
2.6,10600, ,0009,20130413,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-17051,11110-76428,0,서울특별시 종로구 통의동 9-1번지,21.66,3,11110, ,21,철근콘크리트구조
70.38,10600, ,0009,20130413, ,1,전유,20,지상,5,0001, ,0,주건축물,02003,다세대주택,11110-17058,11110-76447,0,서울특별시 종로구 통의동 9-1번지,24.14,4,11110, ,21,철근콘크리트구조
6.53,10600, ,0009,20130413,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-17058,11110-76448,0,서울특별시 종로구 통의동 9-1번지,24.14,5,11110, ,21,철근콘크리트구조
2.9,10600, ,0009,20130413,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-17058,11110-76449,0,서울특별시 종로구 통의동 9-1번지,24.14,6,11110, ,21,철근콘크리트구조
75.09,10600, ,0009,20130413, ,1,전유,20,지상,4,0001, ,0,주건축물,02003,다세대주택,11110-17055,11110-76438,0,서울특별시 종로구 통의동 9-1번지,25.76,7,11110, ,21,철근콘크리트구조
6.97,10600, ,0009,20130413,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-17055,11110-76439,0,서울특별시 종로구 통의동 9-1번지,25.76,8,11110, ,21,철근콘크리트구조
3.1,10600, ,0009,20130413,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02003,다세대주택,11110-17055,11110-76440,0,서울특별시 종로구 통의동 9-1번지,25.76,9,11110, ,21,철근콘크리트구조
70.38,10600, ,0009,20130413, ,1,전유,20,지상,4,0001, ,0,주건축물,02003,다세대주택,11110-17056,11110-76441,0,서울특별시 종로구 통의동 9-1번지,24.14,10,11110, ,21,철근콘크리트구조
98.34,10700, ,0100,20160921, ,1,전유,20,지상,2,0001, ,0,주건축물,04001,일반음식점,11110-17075,11110-76498,0,서울특별시 종로구 적선동 100-1번지,41A,1,11110, ,21,철근콘크리트구조
9.54,10700, ,0100,20160921,주차장,2,공용,20,지상,2,0001, ,0,주건축물,04001,일반음식점,11110-17075,11110-76499,0,서울특별시 종로구 적선동 100-1번지,41A,2,11110, ,21,철근콘크리트구조
28.71,10700, ,0100,20160921,계단실,2,공용,20,지상,2,0001, ,0,주건축물,04001,일반음식점,11110-17075,11110-76500,0,서울특별시 종로구 적선동 100-1번지,41A,3,11110, ,21,철근콘크리트구조
76.47,10700, ,0100,20160921, ,1,전유,20,지상,1,0001, ,0,주건축물,04001,일반음식점,11110-17072,11110-76489,0,서울특별시 종로구 적선동 100-1번지,32C,4,11110, ,21,철근콘크리트구조
7.42,10700, ,0100,20160921,주차장,2,공용,20,지상,1,0001, ,0,주건축물,04001,일반음식점,11110-17072,11110-76490,0,서울특별시 종로구 적선동 100-1번지,32C,5,11110, ,21,철근콘크리트구조
22.32,10700, ,0100,20160921,"계단실,홀",2,공용,20,지상,1,0001, ,0,주건축물,04001,일반음식점,11110-17072,11110-76491,0,서울특별시 종로구 적선동 100-1번지,32C,6,11110, ,21,철근콘크리트구조
134.98,10700, ,0100,20160921, ,1,전유,20,지상,4,0001, ,0,주건축물,03005,의원,11110-17079,11110-76510,0,서울특별시 종로구 적선동 100-1번지,56C,7,11110, ,21,철근콘크리트구조
13.1,10700, ,0100,20160921,주차장,2,공용,20,지상,4,0001, ,0,주건축물,03005,의원,11110-17079,11110-76511,0,서울특별시 종로구 적선동 100-1번지,56C,8,11110, ,21,철근콘크리트구조
39.4,10700, ,0100,20160921,계단실,2,공용,20,지상,4,0001, ,0,주건축물,03005,의원,11110-17079,11110-76512,0,서울특별시 종로구 적선동 100-1번지,56C,9,11110, ,21,철근콘크리트구조
113.93,10700, ,0100,20160921, ,1,전유,20,지상,4,0001, ,0,주건축물,03005,의원,11110-17080,11110-76513,0,서울특별시 종로구 적선동 100-1번지,47C,10,11110, ,21,철근콘크리트구조
