bjdongCd,block,bun,changGbCd,changGbCdNm,crtnDay,flrGbCd,flrGbCdNm,flrNo,hoNm,hoNo,ji,lot,mgmDongOulnPk,mgmHoDetlPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm
10100, ,0004, , ,20090326,10,지하,1, ,1,0001, ,11110-3937,11110-19088,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,1,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,2,0001, ,11110-3937,11110-19089,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,2,11110, 
10100, ,0004, , ,20090326,10,지하,1, ,3,0001, ,11110-3937,11110-19090,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,3,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,4,0001, ,11110-3937,11110-19091,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,4,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,5,0001, ,11110-3937,11110-19092,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,5,11110, 
10100, ,0004, , ,20090326,20,지상,1, ,6,0001, ,11110-3937,11110-19093,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,6,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,7,0001, ,11110-3937,11110-19094,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,7,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,8,0001, ,11110-3937,11110-19095,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,8,11110, 
10100, ,0004, , ,20090326,20,지상,2, ,9,0001, ,11110-3937,11110-19096,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,9,11110, 
10100, ,0004, , ,20090326,20,지상,3, ,10,0001, ,11110-3937,11110-19097,11110-3306,0,서울특별시 종로구 청운동 4-1번지, ,10,11110, 
10200, ,0002, , ,20131126,20,지상,1, ,2,0007, ,11110-504,11110-1674,11110-291,0,서울특별시 종로구 신교동 2-7번지, ,1,11110, 
10200, ,0002, , ,20131126,20,지상,2, ,3,0007, ,11110-504,11110-1675,11110-291,0,서울특별시 종로구 신교동 2-7번지, ,2,11110, 
10200, ,0002, , ,20131126,20,지상,3, ,4,0007, ,11110-504,11110-1676,11110-291,0,서울특별시 종로구 신교동 2-7번지, ,3,11110, 
10200, ,0006, , ,20150107,20,지상,2, ,0,0006, ,11110-100020965,11110-100010544,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,4,11110, 
10200, ,0006, , ,20150107,20,지상,5, ,0,0006, ,11110-100020965,11110-100010545,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,5,11110, 
10200, ,0006, , ,20150107,20,지상,4, ,0,0006, ,11110-100020965,11110-100010546,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,6,11110, 
10200, ,0006, , ,20150107,20,지상,4, ,0,0006, ,11110-100020965,11110-100010547,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,7,11110, 
10200, ,0006, , ,20150107,20,지상,3, ,0,0006, ,11110-100020965,11110-100010548,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,8,11110, 
10200, ,0006, , ,20150107,20,지상,5, ,0,0006, ,11110-100020965,11110-100010549,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,9,11110, 
10200, ,0006, , ,20150107,20,지상,2, ,0,0006, ,11110-100020965,11110-100010550,11110-100017446,0,서울특별시 종로구 신교동 6-6번지, ,10,11110, 
10300, ,0013, , ,20110222,20,지상,2, ,0,0007, ,11110-100011367,11110-100003966,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지, ,1,11110, 
10300, ,0013, , ,20110222,10,지하,1, ,0,0007, ,11110-100011367,11110-100003965,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지, ,2,11110, 
10300, ,0013, , ,20110222,20,지상,1, ,0,0007, ,11110-100011367,11110-100003964,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지, ,3,11110, 
10400, ,0041, , ,20090326,20,지상,3, ,2,0000, ,11110-3001,11110-17500,11110-2468,0,서울특별시 종로구 효자동 41번지, ,1,11110, 
10400, ,0041, , ,20090326,20,지상,4, ,3,0000, ,11110-3001,11110-17501,11110-2468,0,서울특별시 종로구 효자동 41번지, ,2,11110, 
10400, ,0041, , ,20090326,20,지상,4, ,4,0000, ,11110-3001,11110-17502,11110-2468,0,서울특별시 종로구 효자동 41번지, ,3,11110, 
10400, ,0041, , ,20090326,20,지상,2, ,1,0000, ,11110-3001,11110-17499,11110-2468,0,서울특별시 종로구 효자동 41번지, ,4,11110, 
10400, ,0045, , ,20120112,20,지상,2, ,0,0000, ,11110-100006968,11110-100002325,11110-100006115,0,서울특별시 종로구 효자동 45번지, ,5,11110, 
10400, ,0045, , ,20120112,22,복수층(상층),4, ,0,0000, ,11110-100006968,11110-100002326,11110-100006115,0,서울특별시 종로구 효자동 45번지, ,6,11110, 
10400, ,0045, , ,20120112,21,복수층(하층),3, ,0,0000, ,11110-100006968,11110-100002327,11110-100006115,0,서울특별시 종로구 효자동 45번지, ,7,11110, 
10400, ,0045, , ,20120112,20,지상,2, ,0,0000, ,11110-100006968,11110-100002328,11110-100006115,0,서울특별시 종로구 효자동 45번지, ,8,11110, 
10400, ,0045, , ,20120112,20,지상,3, ,0,0000, ,11110-100006968,11110-100002329,11110-100006115,0,서울특별시 종로구 효자동 45번지, ,9,11110, 
10400, ,0045, , ,20120112,20,지상,1, ,0,0000, ,11110-100006968,11110-100002330,11110-100006115,0,서울특별시 종로구 효자동 45번지, ,10,11110, 
10500, ,0021, , ,20090326,20,지상,3, ,3,0007, ,11110-1985,11110-11845,11110-1529,0,서울특별시 종로구 창성동 21-7번지, ,1,11110, 
10500, ,0021, , ,20090326,20,지상,2, ,2,0007, ,11110-1985,11110-11844,11110-1529,0,서울특별시 종로구 창성동 21-7번지, ,2,11110, 
10500, ,0021, , ,20090326,20,지상,1, ,1,0007, ,11110-1985,11110-11843,11110-1529,0,서울특별시 종로구 창성동 21-7번지, ,3,11110, 
10500, ,0087, , ,20140902,20,지상,4, ,0,0002, ,11110-100019791,11110-100009438,11110-100020553,0,서울특별시 종로구 창성동 87-2번지, ,4,11110, 
10500, ,0090, , ,20090326,20,지상,2, ,5,0000, ,11110-319,11110-1242,11110-222,0,서울특별시 종로구 창성동 90번지, ,5,11110, 
