bjdongCd,block,bun,crtnDay,exmptUtcnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,ji,lot,mgmPmsrgstPk,neigAutoArea,neigAutoUtcnt,neigMechArea,neigMechUtcnt,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platGbCd,platPlc,rnum,sigunguCd,splotNm
10100, ,0004,20090326,0,0,45,0,0,0001, ,11110-3306,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 4-1번지,1,11110, 
10100, ,0004,20090326,0,438.86,12,0,0,0003, ,11110-3661,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 4-3번지,2,11110, 
10100, ,0004,20090326,0,549.17,21,0,0,0007, ,11110-284,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 4-7번지,3,11110, 
10100, ,0004,20140711,0,178.89,4,0,0,0014, ,11110-2334,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 4-14번지,4,11110, 
10100, ,0005,20090326,0,0,0,0,0,0000, ,11110-3487,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 5번지,5,11110, 
10100, ,0005,20140315,0,0,0,0,0,0000, ,11110-2926,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 5번지,6,11110, 
10100, ,0006,20161221,0,0,0,0,0,0000, ,11110-100023513,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 6번지,7,11110, 
10100, ,0008,20170307,0,0,0,0,0,0004, ,11110-3771,0,0,0,0,0,10,0,0,0,서울특별시 종로구 청운동 8-4번지,8,11110, 
10100, ,0012,20190109,0,33.1,1,0,0,0002, ,11110-100030002,0,0,0,0,57.5,5,0,0,0,서울특별시 종로구 청운동 12-2번지,9,11110, 
10100, ,0012,20190329,0,0,0,0,0,0003, ,11110-100034089,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 12-3번지,10,11110, 
10200, ,0001,20120605,0,0,0,0,0,0027, ,11110-100010119,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 1-27번지,1,11110, 
10200, ,0002,20131126,0,346.15,12,0,0,0007, ,11110-291,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 2-7번지,2,11110, 
