archArea,bjdongCd,bldNm,block,bun,crtnDay,grndFlrCnt,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm,sumArchArea,sumTotArea,tmpbldPrsvExpDay,totArea
18,10100, , ,0004,20100818,1,0021, , , ,11110-3547,664.5,0,서울특별시 종로구 청운동 4-21번지,1,11110, ,39,기타강구조,126,126, ,18
54,10100, , ,0004,20100818,1,0021, , , ,11110-3547,664.5,0,서울특별시 종로구 청운동 4-21번지,2,11110, ,39,기타강구조,126,126, ,54
54,10100, , ,0004,20100818,1,0021, , , ,11110-3547,664.5,0,서울특별시 종로구 청운동 4-21번지,3,11110, ,39,기타강구조,126,126, ,54
18,10100, , ,0015,20111209,2,0014, ,28000,가설건축물,11110-100010771,523.3,0,서울특별시 종로구 청운동 15-14번지,4,11110, ,32,경량철골구조,18,36, ,36
195,10100, , ,0015,20100818,1,0047, , , ,11110-732,203,0,서울특별시 종로구 청운동 15-47번지,5,11110, ,32,경량철골구조,195,195,20060624,195
49.58,10100, , ,0016,20190305,1,0001, , , ,11110-3511,0,0,서울특별시 종로구 청운동 16-1번지,6,11110, ,39,기타강구조,49.58,49.58, ,49.58
27,10100, , ,0031,20100818,1,0007, , , ,11110-1370,110.1,0,서울특별시 종로구 청운동 31-7번지,7,11110, ,32,경량철골구조,27,27, ,27
14.4,10100, , ,0089,20160223,1,0107, , , ,11110-1350,340.9,0,서울특별시 종로구 청운동 89-107번지,8,11110, ,39,기타강구조,14.4,14.4, ,14.4
8.75,10200, , ,0070,20171229,1,0002, ,28000,가설건축물,11110-100029606,631.3,0,서울특별시 종로구 신교동 70-2번지,1,11110, ,32,경량철골구조,8.75,8.75, ,8.75
18,10300, , ,0017,20180323,1,0001, ,28000,가설건축물,11110-100027700,1767.8,0,서울특별시 종로구 궁정동 17-1번지,1,11110, ,99,기타구조,36,54, ,18
18,10300, , ,0017,20180323,2,0001, ,28000,가설건축물,11110-100027700,1767.8,0,서울특별시 종로구 궁정동 17-1번지,2,11110, ,99,기타구조,36,54, ,36
12,10300, , ,0029,20111209,1,0002, ,28000,가설건축물,11110-100011985,115.4,0,서울특별시 종로구 궁정동 29-2번지,3,11110, ,99,기타구조,12,12, ,12
1.43,10300, , ,0055,20180419,1,0003, ,28000,가설건축물,11110-100030404,3297.8,0,서울특별시 종로구 궁정동 55-3번지,4,11110, ,32,경량철골구조,1.43,1.43, ,1.43
42,10400, , ,0073,20180417,2,0001, ,28000,가설건축물,11110-100030383,283.6,0,서울특별시 종로구 효자동 73-1번지,1,11110, ,39,기타강구조,71.4,142.8, ,84
29.4,10400, , ,0073,20180417,2,0001, ,28000,가설건축물,11110-100030383,283.6,0,서울특별시 종로구 효자동 73-1번지,2,11110, ,39,기타강구조,71.4,142.8, ,58.8
19.2,10400, , ,0077,20171219,1,0004, ,28000,가설건축물,11110-100029567,4083.2,0,서울특별시 종로구 효자동 77-4번지,3,11110, ,99,기타구조,19.2,19.2, ,19.2
18,10400, , ,0178,20170408,1,0003, ,18000,창고시설,11110-100027625,120,0,서울특별시 종로구 효자동 178-3번지,4,11110, ,99,기타구조,18,18, ,18
6,10500, , ,0021,20180505,1,0001, ,28000,가설건축물,11110-100011953,787.43,0,서울특별시 종로구 창성동 21-1번지,1,11110, ,99,기타구조,6,6, ,6
38.44,10500, , ,0108,20180704,1,0012, ,28000,가설건축물,11110-100012197,241.07,0,서울특별시 종로구 창성동 108-12번지,2,11110, ,32,경량철골구조,38.44,38.44, ,38.44
0,10600, , ,0030,20121213,0,0000, , , ,11110-3530,212.9,0,서울특별시 종로구 통의동 30번지,1,11110, , , ,27.9,27.9, ,0
55.59,10600, , ,0035,20171219,1,0014, ,28000,가설건축물,11110-100029426,314.4,0,서울특별시 종로구 통의동 35-14번지,2,11110, ,32,경량철골구조,55.59,55.59, ,55.59
36,10600, , ,0035,20121213,1,0041, ,28000,가설건축물,11110-100011563,552.1,0,서울특별시 종로구 통의동 35-41번지,3,11110, ,39,기타강구조,36,36, ,36
162,10600, , ,0035,20100818,1,0053, , , ,11110-3978,4701.14,0,서울특별시 종로구 통의동 35-53번지,4,11110, ,39,기타강구조,234.25,252.25, ,162
27,10600, , ,0035,20100818,1,0053, , , ,11110-3978,4701.14,0,서울특별시 종로구 통의동 35-53번지,5,11110, ,39,기타강구조,234.25,252.25, ,27
6.25,10600, , ,0035,20100818,1,0053, , , ,11110-3978,4701.14,0,서울특별시 종로구 통의동 35-53번지,6,11110, ,39,기타강구조,234.25,252.25, ,6.25
18,10600, , ,0035,20100818,2,0053, , , ,11110-3978,4701.14,0,서울특별시 종로구 통의동 35-53번지,7,11110, ,39,기타강구조,234.25,252.25, ,36
21,10600, , ,0035,20100818,1,0053, , , ,11110-3978,4701.14,0,서울특별시 종로구 통의동 35-53번지,8,11110, ,39,기타강구조,234.25,252.25, ,21
72,10600, , ,0035,20100818,1,0053, ,04000,제2종근린생활시설,11110-3523,4701.14,0,서울특별시 종로구 통의동 35-53번지,9,11110, ,32,경량철골구조,72,72,20070330,72
185.55,10600, , ,0035,20100818,2,0069, ,04000,제2종근린생활시설,11110-4538,319.8,0,서울특별시 종로구 통의동 35-69번지,10,11110, ,31,일반철골구조,185.55,185.55, ,185.55
