bjdongCd,block,bun,capaLube,capaPsper,crtnDay,ji,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm,wclfModeCd,wclfModeCdNm
00000, ,0001,50,20,20150619,0001, ,0,전체,11000-117,0,서울특별시 종로구 종로구 1-1번지,1,1,11110, ,201,부패탱크방법
10100, ,0004,0,80,20090326,0001, ,0,전체,11110-3306,0,서울특별시 종로구 청운동 4-1번지,1,1,11110, ,201,부패탱크방법
10100, ,0004,0,30,20090326,0003, ,0,전체,11110-3661,0,서울특별시 종로구 청운동 4-3번지,1,2,11110, ,201,부패탱크방법
10100, ,0004,0,50,20090326,0007, ,0,전체,11110-284,0,서울특별시 종로구 청운동 4-7번지,1,3,11110, ,201,부패탱크방법
10100, ,0004,0,30,20140711,0014, ,0,전체,11110-2334,0,서울특별시 종로구 청운동 4-14번지,1,4,11110, ,201,부패탱크방법
10100, ,0005,0,20,20090326,0000, ,0,전체,11110-3487,0,서울특별시 종로구 청운동 5번지,1,5,11110, ,201,부패탱크방법
10100, ,0005,0,20,20140315,0000, ,0,전체,11110-2926,0,서울특별시 종로구 청운동 5번지,1,6,11110, ,201,부패탱크방법
10100, ,0006,0,40,20161221,0000, ,0,전체,11110-100023513,0,서울특별시 종로구 청운동 6번지,1,7,11110, ,201,부패탱크방법
10100, ,0007,0,300,20150708,0003, ,0,전체,11110-100023152,0,서울특별시 종로구 청운동 7-3번지,1,8,11110, ,201,부패탱크방법
10100, ,0008,0,90,20170307,0004, ,0,전체,11110-3771,0,서울특별시 종로구 청운동 8-4번지,1,9,11110, ,201,부패탱크방법
10100, ,0012,0,10,20090326,0001, ,0,전체,11110-4882,0,서울특별시 종로구 청운동 12-1번지,1,10,11110, ,201,부패탱크방법
10200, ,0001,0,15,20100317,0026, ,0,전체,11110-2994,0,서울특별시 종로구 신교동 1-26번지,1,1,11110, ,201,부패탱크방법
10200, ,0001,0,20,20120605,0027, ,0,전체,11110-100010119,0,서울특별시 종로구 신교동 1-27번지,1,2,11110, ,201,부패탱크방법
10200, ,0002,0,30,20131126,0007, ,0,전체,11110-291,0,서울특별시 종로구 신교동 2-7번지,1,3,11110, ,201,부패탱크방법
10200, ,0002,3,15,20100605,0048, ,0,전체,11110-100011103,0,서울특별시 종로구 신교동 2-48번지,1,4,11110, ,201,부패탱크방법
10200, ,0002,0,5,20120929,0051, ,0,전체,11110-100015118,0,서울특별시 종로구 신교동 2-51번지,1,5,11110, ,201,부패탱크방법
10200, ,0002,0,5,20130220,0062, ,0,전체,11110-100015739,0,서울특별시 종로구 신교동 2-62번지,1,6,11110, ,201,부패탱크방법
10200, ,0002,0,100,20090326,0084, ,0,전체,11110-2851,0,서울특별시 종로구 신교동 2-84번지,1,7,11110, ,201,부패탱크방법
10200, ,0002,0,5,20141219,0116, ,0,전체,11110-100008092,0,서울특별시 종로구 신교동 2-116번지,1,8,11110, ,201,부패탱크방법
10200, ,0002,0,5,20111014,0118, ,0,전체,11110-100013761,0,서울특별시 종로구 신교동 2-118번지,1,9,11110, ,201,부패탱크방법
10200, ,0002,0,5,20141230,0121, ,0,전체,11110-100021575,0,서울특별시 종로구 신교동 2-121번지,1,10,11110, ,201,부패탱크방법
10300, ,0003,9,80,20090326,0006, ,0,전체,11110-2937,0,서울특별시 종로구 궁정동 3-6번지,1,1,11110, ,201,부패탱크방법
10300, ,0003,0,90,20160824,0006, ,0,전체,11110-100025156,0,서울특별시 종로구 궁정동 3-6번지,1,2,11110, , , 
10300, ,0003,0,40,20180905,0006, ,0,전체,11110-100026114,0,서울특별시 종로구 궁정동 3-6번지,0,3,11110, ,201,부패탱크방법
10300, ,0003,0,90,20180905,0006, ,0,전체,11110-100026114,0,서울특별시 종로구 궁정동 3-6번지,1,4,11110, ,201,부패탱크방법
10300, ,0003,5.005,40,20180726,0018, ,0,전체,11110-100030086,0,서울특별시 종로구 궁정동 3-18번지,1,5,11110, ,201,부패탱크방법
10300, ,0004,0,40,20140429,0001, ,0,전체,11110-100019858,0,서울특별시 종로구 궁정동 4-1번지,1,6,11110, ,201,부패탱크방법
10300, ,0013,0,50,20110222,0007, ,0,전체,11110-100013065,0,서울특별시 종로구 궁정동 13-7번지,1,7,11110, ,201,부패탱크방법
10300, ,0029,0,20,20110107,0002, ,0,전체,11110-100011213,0,서울특별시 종로구 궁정동 29-2번지,1,8,11110, ,201,부패탱크방법
10300, ,0029,0,20,20130403,0002, ,0,전체,11110-100013346,0,서울특별시 종로구 궁정동 29-2번지,1,9,11110, , , 
10400, ,0025,0,40,20171229,0000, ,0,전체,11110-100029630,0,서울특별시 종로구 효자동 25번지,1,1,11110, , , 
10400, ,0033,1.526,5,20181212,0001, ,0,전체,11110-100028855,0,서울특별시 종로구 효자동 33-1번지,1,2,11110, , , 
10400, ,0033,1.526,5,20181220,0001, ,0,전체,11110-100033429,0,서울특별시 종로구 효자동 33-1번지,1,3,11110, , , 
10400, ,0034,0,25,20141017,0001, ,0,전체,11110-1502,0,서울특별시 종로구 효자동 34-1번지,1,4,11110, ,201,부패탱크방법
10400, ,0038,0,220,20090326,0000, ,0,전체,11110-3394,0,서울특별시 종로구 효자동 38번지,1,5,11110, ,201,부패탱크방법
10400, ,0038,0,120,20090326,0000, ,0,전체,11110-1068,0,서울특별시 종로구 효자동 38번지,0,6,11110, ,201,부패탱크방법
10400, ,0038,0,100,20090326,0000, ,0,전체,11110-1068,0,서울특별시 종로구 효자동 38번지,1,7,11110, ,201,부패탱크방법
10400, ,0038,0,220,20140723,0000, ,0,전체,11110-3939,0,서울특별시 종로구 효자동 38번지,1,8,11110, ,201,부패탱크방법
10400, ,0040,0,25,20140328,0001, ,0,전체,11110-100016561,0,서울특별시 종로구 효자동 40-1번지,1,9,11110, ,204,접촉폭기방법
10400, ,0041,0,30,20090326,0000, ,0,전체,11110-2468,0,서울특별시 종로구 효자동 41번지,1,10,11110, ,201,부패탱크방법
10500, ,0017,0,150,20150207,0001, ,0,전체,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,1,1,11110, ,201,부패탱크방법
10500, ,0017,0,150,20170209,0001, ,0,전체,11110-2866,0,서울특별시 종로구 창성동 17-1번지,1,2,11110, ,201,부패탱크방법
10500, ,0017,48.82,150,20180616,0001, ,0,전체,11110-100027781,0,서울특별시 종로구 창성동 17-1번지,1,3,11110, ,201,부패탱크방법
10500, ,0021,0,100,20130627,0001, ,0,전체,11110-808,0,서울특별시 종로구 창성동 21-1번지,1,4,11110, ,102,접촉산화방법
10500, ,0021,0,20,20090326,0007, ,0,전체,11110-1529,0,서울특별시 종로구 창성동 21-7번지,1,5,11110, ,201,부패탱크방법
10500, ,0021,0,20,20090326,0007, ,0,전체,11110-960,0,서울특별시 종로구 창성동 21-7번지,1,6,11110, ,201,부패탱크방법
10500,21,0021,2.5,15,20090326,0010,10,0,전체,11110-986,0,서울특별시 종로구 창성동 21-10번지,1,7,11110,서울특별시 종로구 창성동,201,부패탱크방법
10500, ,0021,0,30,20130611,0010, ,0,전체,11110-100005658,0,서울특별시 종로구 창성동 21-10번지,1,8,11110, ,201,부패탱크방법
10500, ,0021,0,55,20131031,0019, ,0,전체,11110-1049,0,서울특별시 종로구 창성동 21-19번지,1,9,11110, ,201,부패탱크방법
10500, ,0039,0,40,20100604,0002, ,0,전체,11110-447,0,서울특별시 종로구 창성동 39-2번지,1,10,11110, ,201,부패탱크방법
10600, ,0001,0,20,20140322,0007, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,1,1,11110, ,201,부패탱크방법
10600, ,0002,0,100,20170413,0001, ,0,전체,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,1,2,11110, ,201,부패탱크방법
10600, ,0006,0,170,20130413,0000, ,0,전체,11110-2298,0,서울특별시 종로구 통의동 6번지,1,3,11110, ,201,부패탱크방법
10600, ,0007,0,15,20091126,0004, ,0,전체,11110-100011144,0,서울특별시 종로구 통의동 7-4번지,1,4,11110, ,201,부패탱크방법
10600, ,0007,0,10,20151007,0006, ,0,전체,11110-100019135,0,서울특별시 종로구 통의동 7-6번지,1,5,11110, ,201,부패탱크방법
10600, ,0007,0,15,20100112,0008, ,0,전체,11110-100011221,0,서울특별시 종로구 통의동 7-8번지,1,6,11110, ,201,부패탱크방법
10600, ,0007,0,15,20091017,0010, ,0,전체,11110-100011021,0,서울특별시 종로구 통의동 7-10번지,1,7,11110, ,201,부패탱크방법
10600, ,0007,0,15,20091017,0011, ,0,전체,11110-100011022,0,서울특별시 종로구 통의동 7-11번지,1,8,11110, ,201,부패탱크방법
10600, ,0007,0,10,20120802,0013, ,0,전체,11110-100016175,0,서울특별시 종로구 통의동 7-13번지,1,9,11110, ,204,접촉폭기방법
10600, ,0007,0,10,20171118,0013, ,0,전체,11110-3680,0,서울특별시 종로구 통의동 7-13번지,1,10,11110, ,204,접촉폭기방법
10700, ,0001,0,200,20090326,0000, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,1,1,11110, ,201,부패탱크방법
10700, ,0017,0,15,20120815,0000, ,0,전체,11110-100016190,0,서울특별시 종로구 적선동 17번지,1,2,11110, ,201,부패탱크방법
10700, ,0019,13.28,100,20160610,0000, ,0,전체,11110-100021517,0,서울특별시 종로구 적선동 19번지,1,3,11110, ,201,부패탱크방법
10700, ,0023,0,15,20131018,0000, ,0,전체,11110-100013809,0,서울특별시 종로구 적선동 23번지,1,4,11110, ,201,부패탱크방법
10700, ,0029,0,90,20190130,0000, ,0,전체,11110-100031071,0,서울특별시 종로구 적선동 29번지,1,5,11110, ,201,부패탱크방법
10700, ,0066,0,3900,20140902,0000, ,0,전체,11110-100020184,0,서울특별시 종로구 적선동 66번지,1,6,11110, ,204,접촉폭기방법
10700, ,0066,0,3900,20170921,0000, ,0,전체,11110-100028980,0,서울특별시 종로구 적선동 66번지,1,7,11110, , , 
10700, ,0093,0,5,20130723,0003, ,0,전체,11110-100017107,0,서울특별시 종로구 적선동 93-3번지,1,8,11110, ,201,부패탱크방법
10700, ,0094,0,250,20090326,0000, ,0,전체,11110-2424,0,서울특별시 종로구 적선동 94번지,1,9,11110, ,201,부패탱크방법
