,0,1,2,3,4,5,6,7
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
법정동코드,11000,11110,11110,11110,11110,11110,11110,11110
법정동코드,00000,00000,10100,10200,10300,10400,10500,10600
