archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
100,0100,신축,20040102,0,9.99,00000,1, ,0001,20150619,1, , ,0,0,0001, , ,08,대, , , ,1,01000,단독주택,11000-117,1001,0,서울특별시 종로구 종로구 1-1번지, ,1,11110, , , ,100,0,20060306,9.99,99.9999
0, , ,20040703,0,0,00000, , ,0088,20100325,0, , ,0,0,0000, , , , , , , ,0, , ,11110-6146,0,0,서울특별시 종로구 종로구 88번지, ,2,11110, , , ,0,0, ,0,0
814.26,0100,신축,20050811,0,29.92,10100,청운동 파라디아 아델하우스, ,0004,20090326,0, , ,12,0,0001,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3306,2721.72,0,서울특별시 종로구 청운동 4-1번지,20051205,1,11110, , ,20051125,4748.37,45,20070727,87.52,2382.15
0, , ,20051118,0,0,10100, , ,0004,20100325,0, , ,0,0,0001, , , , , , , ,0, , ,11110-6439,0,0,서울특별시 종로구 청운동 4-1번지, ,2,11110, , , ,0,0, ,0,0
255.6,0100,신축,20060707,0,29.69,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,0, , ,4,0,0003,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3661,860.87,0,서울특별시 종로구 청운동 4-3번지,20060801,3,11110, , ,20060807,1536.11,14,20070619,84.11,724.05
0, , ,20060705,0,0,10100, , ,0004,20100325,0, , ,0,0,0003, , , , , , , ,0, , ,11110-6523,0,0,서울특별시 종로구 청운동 4-3번지, ,4,11110, , , ,0,0, ,0,0
440.78,0100,신축,19990417,0,29.79,10100,신구고려빌라, ,0004,20090326,0, , ,8,0,0007,200,경치지구, , ,1020,일반주거지역, ,1,02000,공동주택,11110-284,1479.65,0,서울특별시 종로구 청운동 4-7번지, ,5,11110, , , ,2283.68,21,20000929,87.41,1293.3
171.05,0100,신축,20030320,0,29.94,10100,리뉴빌, ,0004,20140711,0, , ,4,0,0014,411,자연경관지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-2334,571.16,0,서울특별시 종로구 청운동 4-14번지,20030412,6,11110, , ,20030412,813.96,7,20040112,87.25,498.35
0, , ,20041103,0,0,10100, , ,0004,20100325,0, , ,0,0,0021, , , , , , , ,0, , ,11110-6201,0,0,서울특별시 종로구 청운동 4-21번지, ,7,11110, , , ,0,0, ,0,0
126, , ,20051129,0,0,10100, , ,0004,20100818,0, , ,0,0,0021, , , , , , , ,0, , ,11110-3547,664.5,0,서울특별시 종로구 청운동 4-21번지, ,8,11110, , , ,126,0, ,0,0
179.5,0700,용도변경,20050802,0,7.28,10100,예수그리스도후기성도교회수도원, ,0005,20090326,0, , ,0,0,0000,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,Z5000, ,11110-3487,2464.2,0,서울특별시 종로구 청운동 5번지, ,9,11110, , , ,397.6,4,20050803,16.14,397.6
179.5,0100,신축,20040923,0,7.28,10100,선교부장 사택, ,0005,20140315,1, , ,0,0,0000,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-2926,2464.2,0,서울특별시 종로구 청운동 5번지,20041213,10,11110, , ,20041215,397.6,4,20050704,16.14,397.6
